TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
Moscow,55.7505412,37.6174782,0,city
North Russia,40.2347473,-84.4071014,0,city
Leningrad,59.938732,30.316229,0,city
Frankfurt,50.1106444,8.6820917,0,city
Deauville,49.36,0.0752778,0,city
jerusalem,31.7788242,35.2257626,0,city
Hamburg,53.550341,10.000654,0,city
Turin,45.0677551,7.6824892,0,city
Genoa,44.40726,8.9338624,0,city
Venice,45.4371908,12.3345898,0,city
Bologna,44.4938203,11.3426327,0,city
Cannes,43.5515198,7.0134418,0,city
Nervi,44.3833121,9.0391295,0,city
Chicago,41.8755616,-87.6244212,0,city
Stuttgart,48.7784485,9.1800132,0,city
Bath,51.3813864,-2.3596963,0,city
Spoleto,52.663642,-1.580326,0,city
Monte Carlo,43.7402961,7.426559,0,city
Milano,45.4641943,9.1896346,0,city
Marseille,43.2961743,5.3699525,0,city
Brussels,50.8465573,4.351697,0,city
Liverpool,53.4071991,-2.99168,0,city
Mexico City,19.4326296,-99.1331785,0,city
Montreal,45.5031824,-73.5698065,0,city
Baltimore,39.2908816,-76.610759,0,city
Melbourne,-37.8142454,144.9631732,0,city
Toronto,43.6534817,-79.3839347,0,city
Madrid,40.4167047,-3.7035825,0,city
Amsterdam,52.3730796,4.8924534,0,city
Copenhagen,55.6867243,12.5700724,0,city
Utrecht,52.0809856,5.127683969,0,city
Scheveningen,52.1067449,4.2736937,0,city
Rome,41.8933203,12.4829321,0,city
Stockholm,59.3251172,18.0710935,0,city
Holmdel,40.3451095,-74.1840322,0,city
New York,40.7127281,-74.0060152,0,city
Mantua,45.1692628,10.67083652,0,city
Florence,43.7697955,11.2556404,0,city
London,51.5074456,-0.1277653,0,city
Palma de Mallorca,39.5695818,2.6500745,0,city
Dublin,53.3493795,-6.2605593,0,city
Verona,45.4424977,10.98573769,0,city
Vienna,48.2083537,16.3725042,0,city
Berlin,52.510885,13.3989367,0,city
Budapest,47.4978789,19.0402383,0,city
Paris,48.8588897,2.320041022,0,city
1955,55.7505412,37.6174782,0,year
1956,55.7505412,37.6174782,365,year
1957,55.7505412,37.6174782,731,year
1958,55.7505412,37.6174782,1096,year
1959,55.7505412,37.6174782,1461,year
1960,55.7505412,37.6174782,1826,year
1961,55.7505412,37.6174782,2192,year
1955,40.2347473,-84.4071014,0,year
1956,40.2347473,-84.4071014,365,year
1957,40.2347473,-84.4071014,731,year
1958,40.2347473,-84.4071014,1096,year
1959,40.2347473,-84.4071014,1461,year
1960,40.2347473,-84.4071014,1826,year
1961,40.2347473,-84.4071014,2192,year
1955,59.938732,30.316229,0,year
1956,59.938732,30.316229,365,year
1957,59.938732,30.316229,731,year
1958,59.938732,30.316229,1096,year
1959,59.938732,30.316229,1461,year
1960,59.938732,30.316229,1826,year
1961,59.938732,30.316229,2192,year
1962,59.938732,30.316229,2557,year
1955,50.1106444,8.6820917,0,year
1956,50.1106444,8.6820917,365,year
1957,50.1106444,8.6820917,731,year
1958,50.1106444,8.6820917,1096,year
1959,50.1106444,8.6820917,1461,year
1960,50.1106444,8.6820917,1826,year
1961,50.1106444,8.6820917,2192,year
1962,50.1106444,8.6820917,2557,year
1955,49.36,0.0752778,0,year
1956,49.36,0.0752778,365,year
1957,49.36,0.0752778,731,year
1958,49.36,0.0752778,1096,year
1959,49.36,0.0752778,1461,year
1960,49.36,0.0752778,1826,year
1961,49.36,0.0752778,2192,year
1962,49.36,0.0752778,2557,year
1955,31.7788242,35.2257626,0,year
1956,31.7788242,35.2257626,365,year
1957,31.7788242,35.2257626,731,year
1958,31.7788242,35.2257626,1096,year
1959,31.7788242,35.2257626,1461,year
1960,31.7788242,35.2257626,1826,year
1961,31.7788242,35.2257626,2192,year
1962,31.7788242,35.2257626,2557,year
1955,53.550341,10.000654,0,year
1956,53.550341,10.000654,365,year
1957,53.550341,10.000654,731,year
1958,53.550341,10.000654,1096,year
1959,53.550341,10.000654,1461,year
1960,53.550341,10.000654,1826,year
1961,53.550341,10.000654,2192,year
1962,53.550341,10.000654,2557,year
1955,45.0677551,7.6824892,0,year
1956,45.0677551,7.6824892,365,year
1957,45.0677551,7.6824892,731,year
1958,45.0677551,7.6824892,1096,year
1959,45.0677551,7.6824892,1461,year
1960,45.0677551,7.6824892,1826,year
1961,45.0677551,7.6824892,2192,year
1962,45.0677551,7.6824892,2557,year
1955,44.40726,8.9338624,0,year
1956,44.40726,8.9338624,365,year
1957,44.40726,8.9338624,731,year
1958,44.40726,8.9338624,1096,year
1959,44.40726,8.9338624,1461,year
1960,44.40726,8.9338624,1826,year
1961,44.40726,8.9338624,2192,year
1962,44.40726,8.9338624,2557,year
1955,45.4371908,12.3345898,0,year
1956,45.4371908,12.3345898,365,year
1957,45.4371908,12.3345898,731,year
1958,45.4371908,12.3345898,1096,year
1959,45.4371908,12.3345898,1461,year
1960,45.4371908,12.3345898,1826,year
1961,45.4371908,12.3345898,2192,year
1962,45.4371908,12.3345898,2557,year
1955,44.4938203,11.3426327,0,year
1956,44.4938203,11.3426327,365,year
1957,44.4938203,11.3426327,731,year
1958,44.4938203,11.3426327,1096,year
1959,44.4938203,11.3426327,1461,year
1960,44.4938203,11.3426327,1826,year
1961,44.4938203,11.3426327,2192,year
1962,44.4938203,11.3426327,2557,year
1955,43.5515198,7.0134418,0,year
1956,43.5515198,7.0134418,365,year
1957,43.5515198,7.0134418,731,year
1958,43.5515198,7.0134418,1096,year
1959,43.5515198,7.0134418,1461,year
1960,43.5515198,7.0134418,1826,year
1961,43.5515198,7.0134418,2192,year
1962,43.5515198,7.0134418,2557,year
1963,43.5515198,7.0134418,2922,year
1955,44.3833121,9.0391295,0,year
1956,44.3833121,9.0391295,365,year
1957,44.3833121,9.0391295,731,year
1958,44.3833121,9.0391295,1096,year
1959,44.3833121,9.0391295,1461,year
1960,44.3833121,9.0391295,1826,year
1961,44.3833121,9.0391295,2192,year
1962,44.3833121,9.0391295,2557,year
1963,44.3833121,9.0391295,2922,year
1955,41.8755616,-87.6244212,0,year
1956,41.8755616,-87.6244212,365,year
1957,41.8755616,-87.6244212,731,year
1958,41.8755616,-87.6244212,1096,year
1959,41.8755616,-87.6244212,1461,year
1960,41.8755616,-87.6244212,1826,year
1961,41.8755616,-87.6244212,2192,year
1962,41.8755616,-87.6244212,2557,year
1963,41.8755616,-87.6244212,2922,year
1955,48.7784485,9.1800132,0,year
1956,48.7784485,9.1800132,365,year
1957,48.7784485,9.1800132,731,year
1958,48.7784485,9.1800132,1096,year
1959,48.7784485,9.1800132,1461,year
1960,48.7784485,9.1800132,1826,year
1961,48.7784485,9.1800132,2192,year
1962,48.7784485,9.1800132,2557,year
1963,48.7784485,9.1800132,2922,year
1964,48.7784485,9.1800132,3287,year
1965,48.7784485,9.1800132,3653,year
1955,51.3813864,-2.3596963,0,year
1956,51.3813864,-2.3596963,365,year
1957,51.3813864,-2.3596963,731,year
1958,51.3813864,-2.3596963,1096,year
1959,51.3813864,-2.3596963,1461,year
1960,51.3813864,-2.3596963,1826,year
1961,51.3813864,-2.3596963,2192,year
1962,51.3813864,-2.3596963,2557,year
1963,51.3813864,-2.3596963,2922,year
1964,51.3813864,-2.3596963,3287,year
1965,51.3813864,-2.3596963,3653,year
1955,52.663642,-1.580326,0,year
1956,52.663642,-1.580326,365,year
1957,52.663642,-1.580326,731,year
1958,52.663642,-1.580326,1096,year
1959,52.663642,-1.580326,1461,year
1960,52.663642,-1.580326,1826,year
1961,52.663642,-1.580326,2192,year
1962,52.663642,-1.580326,2557,year
1963,52.663642,-1.580326,2922,year
1964,52.663642,-1.580326,3287,year
1965,52.663642,-1.580326,3653,year
1955,43.7402961,7.426559,0,year
1956,43.7402961,7.426559,365,year
1957,43.7402961,7.426559,731,year
1958,43.7402961,7.426559,1096,year
1959,43.7402961,7.426559,1461,year
1960,43.7402961,7.426559,1826,year
1961,43.7402961,7.426559,2192,year
1962,43.7402961,7.426559,2557,year
1963,43.7402961,7.426559,2922,year
1964,43.7402961,7.426559,3287,year
1965,43.7402961,7.426559,3653,year
1966,43.7402961,7.426559,4018,year
1967,43.7402961,7.426559,4383,year
1968,43.7402961,7.426559,4748,year
1969,43.7402961,7.426559,5114,year
1955,45.4641943,9.1896346,0,year
1956,45.4641943,9.1896346,365,year
1957,45.4641943,9.1896346,731,year
1958,45.4641943,9.1896346,1096,year
1959,45.4641943,9.1896346,1461,year
1960,45.4641943,9.1896346,1826,year
1961,45.4641943,9.1896346,2192,year
1962,45.4641943,9.1896346,2557,year
1963,45.4641943,9.1896346,2922,year
1964,45.4641943,9.1896346,3287,year
1965,45.4641943,9.1896346,3653,year
1966,45.4641943,9.1896346,4018,year
1967,45.4641943,9.1896346,4383,year
1968,45.4641943,9.1896346,4748,year
1969,45.4641943,9.1896346,5114,year
1955,43.2961743,5.3699525,0,year
1956,43.2961743,5.3699525,365,year
1957,43.2961743,5.3699525,731,year
1958,43.2961743,5.3699525,1096,year
1959,43.2961743,5.3699525,1461,year
1960,43.2961743,5.3699525,1826,year
1961,43.2961743,5.3699525,2192,year
1962,43.2961743,5.3699525,2557,year
1963,43.2961743,5.3699525,2922,year
1964,43.2961743,5.3699525,3287,year
1965,43.2961743,5.3699525,3653,year
1966,43.2961743,5.3699525,4018,year
1967,43.2961743,5.3699525,4383,year
1968,43.2961743,5.3699525,4748,year
1969,43.2961743,5.3699525,5114,year
1970,43.2961743,5.3699525,5479,year
1971,43.2961743,5.3699525,5844,year
1955,50.8465573,4.351697,0,year
1956,50.8465573,4.351697,365,year
1957,50.8465573,4.351697,731,year
1958,50.8465573,4.351697,1096,year
1959,50.8465573,4.351697,1461,year
1960,50.8465573,4.351697,1826,year
1961,50.8465573,4.351697,2192,year
1962,50.8465573,4.351697,2557,year
1963,50.8465573,4.351697,2922,year
1964,50.8465573,4.351697,3287,year
1965,50.8465573,4.351697,3653,year
1966,50.8465573,4.351697,4018,year
1967,50.8465573,4.351697,4383,year
1968,50.8465573,4.351697,4748,year
1969,50.8465573,4.351697,5114,year
1970,50.8465573,4.351697,5479,year
1971,50.8465573,4.351697,5844,year
1972,50.8465573,4.351697,6209,year
1955,53.4071991,-2.99168,0,year
1956,53.4071991,-2.99168,365,year
1957,53.4071991,-2.99168,731,year
1958,53.4071991,-2.99168,1096,year
1959,53.4071991,-2.99168,1461,year
1960,53.4071991,-2.99168,1826,year
1961,53.4071991,-2.99168,2192,year
1962,53.4071991,-2.99168,2557,year
1963,53.4071991,-2.99168,2922,year
1964,53.4071991,-2.99168,3287,year
1965,53.4071991,-2.99168,3653,year
1966,53.4071991,-2.99168,4018,year
1967,53.4071991,-2.99168,4383,year
1968,53.4071991,-2.99168,4748,year
1969,53.4071991,-2.99168,5114,year
1970,53.4071991,-2.99168,5479,year
1971,53.4071991,-2.99168,5844,year
1972,53.4071991,-2.99168,6209,year
1973,53.4071991,-2.99168,6575,year
1955,19.4326296,-99.1331785,0,year
1956,19.4326296,-99.1331785,365,year
1957,19.4326296,-99.1331785,731,year
1958,19.4326296,-99.1331785,1096,year
1959,19.4326296,-99.1331785,1461,year
1960,19.4326296,-99.1331785,1826,year
1961,19.4326296,-99.1331785,2192,year
1962,19.4326296,-99.1331785,2557,year
1963,19.4326296,-99.1331785,2922,year
1964,19.4326296,-99.1331785,3287,year
1965,19.4326296,-99.1331785,3653,year
1966,19.4326296,-99.1331785,4018,year
1967,19.4326296,-99.1331785,4383,year
1968,19.4326296,-99.1331785,4748,year
1969,19.4326296,-99.1331785,5114,year
1970,19.4326296,-99.1331785,5479,year
1971,19.4326296,-99.1331785,5844,year
1972,19.4326296,-99.1331785,6209,year
1973,19.4326296,-99.1331785,6575,year
1955,45.5031824,-73.5698065,0,year
1956,45.5031824,-73.5698065,365,year
1957,45.5031824,-73.5698065,731,year
1958,45.5031824,-73.5698065,1096,year
1959,45.5031824,-73.5698065,1461,year
1960,45.5031824,-73.5698065,1826,year
1961,45.5031824,-73.5698065,2192,year
1962,45.5031824,-73.5698065,2557,year
1963,45.5031824,-73.5698065,2922,year
1964,45.5031824,-73.5698065,3287,year
1965,45.5031824,-73.5698065,3653,year
1966,45.5031824,-73.5698065,4018,year
1967,45.5031824,-73.5698065,4383,year
1968,45.5031824,-73.5698065,4748,year
1969,45.5031824,-73.5698065,5114,year
1970,45.5031824,-73.5698065,5479,year
1971,45.5031824,-73.5698065,5844,year
1972,45.5031824,-73.5698065,6209,year
1973,45.5031824,-73.5698065,6575,year
1955,39.2908816,-76.610759,0,year
1956,39.2908816,-76.610759,365,year
1957,39.2908816,-76.610759,731,year
1958,39.2908816,-76.610759,1096,year
1959,39.2908816,-76.610759,1461,year
1960,39.2908816,-76.610759,1826,year
1961,39.2908816,-76.610759,2192,year
1962,39.2908816,-76.610759,2557,year
1963,39.2908816,-76.610759,2922,year
1964,39.2908816,-76.610759,3287,year
1965,39.2908816,-76.610759,3653,year
1966,39.2908816,-76.610759,4018,year
1967,39.2908816,-76.610759,4383,year
1968,39.2908816,-76.610759,4748,year
1969,39.2908816,-76.610759,5114,year
1970,39.2908816,-76.610759,5479,year
1971,39.2908816,-76.610759,5844,year
1972,39.2908816,-76.610759,6209,year
1973,39.2908816,-76.610759,6575,year
1955,-37.8142454,144.9631732,0,year
1956,-37.8142454,144.9631732,365,year
1957,-37.8142454,144.9631732,731,year
1958,-37.8142454,144.9631732,1096,year
1959,-37.8142454,144.9631732,1461,year
1960,-37.8142454,144.9631732,1826,year
1961,-37.8142454,144.9631732,2192,year
1962,-37.8142454,144.9631732,2557,year
1963,-37.8142454,144.9631732,2922,year
1964,-37.8142454,144.9631732,3287,year
1965,-37.8142454,144.9631732,3653,year
1966,-37.8142454,144.9631732,4018,year
1967,-37.8142454,144.9631732,4383,year
1968,-37.8142454,144.9631732,4748,year
1969,-37.8142454,144.9631732,5114,year
1970,-37.8142454,144.9631732,5479,year
1971,-37.8142454,144.9631732,5844,year
1972,-37.8142454,144.9631732,6209,year
1973,-37.8142454,144.9631732,6575,year
1974,-37.8142454,144.9631732,6940,year
1955,43.6534817,-79.3839347,0,year
1956,43.6534817,-79.3839347,365,year
1957,43.6534817,-79.3839347,731,year
1958,43.6534817,-79.3839347,1096,year
1959,43.6534817,-79.3839347,1461,year
1960,43.6534817,-79.3839347,1826,year
1961,43.6534817,-79.3839347,2192,year
1962,43.6534817,-79.3839347,2557,year
1963,43.6534817,-79.3839347,2922,year
1964,43.6534817,-79.3839347,3287,year
1965,43.6534817,-79.3839347,3653,year
1966,43.6534817,-79.3839347,4018,year
1967,43.6534817,-79.3839347,4383,year
1968,43.6534817,-79.3839347,4748,year
1969,43.6534817,-79.3839347,5114,year
1970,43.6534817,-79.3839347,5479,year
1971,43.6534817,-79.3839347,5844,year
1972,43.6534817,-79.3839347,6209,year
1973,43.6534817,-79.3839347,6575,year
1974,43.6534817,-79.3839347,6940,year
1975,43.6534817,-79.3839347,7305,year
1955,40.4167047,-3.7035825,0,year
1956,40.4167047,-3.7035825,365,year
1957,40.4167047,-3.7035825,731,year
1958,40.4167047,-3.7035825,1096,year
1959,40.4167047,-3.7035825,1461,year
1960,40.4167047,-3.7035825,1826,year
1961,40.4167047,-3.7035825,2192,year
1962,40.4167047,-3.7035825,2557,year
1963,40.4167047,-3.7035825,2922,year
1964,40.4167047,-3.7035825,3287,year
1965,40.4167047,-3.7035825,3653,year
1966,40.4167047,-3.7035825,4018,year
1967,40.4167047,-3.7035825,4383,year
1968,40.4167047,-3.7035825,4748,year
1969,40.4167047,-3.7035825,5114,year
1970,40.4167047,-3.7035825,5479,year
1971,40.4167047,-3.7035825,5844,year
1972,40.4167047,-3.7035825,6209,year
1973,40.4167047,-3.7035825,6575,year
1974,40.4167047,-3.7035825,6940,year
1975,40.4167047,-3.7035825,7305,year
1976,40.4167047,-3.7035825,7670,year
1955,52.3730796,4.8924534,0,year
1956,52.3730796,4.8924534,365,year
1957,52.3730796,4.8924534,731,year
1958,52.3730796,4.8924534,1096,year
1959,52.3730796,4.8924534,1461,year
1960,52.3730796,4.8924534,1826,year
1961,52.3730796,4.8924534,2192,year
1962,52.3730796,4.8924534,2557,year
1963,52.3730796,4.8924534,2922,year
1964,52.3730796,4.8924534,3287,year
1965,52.3730796,4.8924534,3653,year
1966,52.3730796,4.8924534,4018,year
1967,52.3730796,4.8924534,4383,year
1968,52.3730796,4.8924534,4748,year
1969,52.3730796,4.8924534,5114,year
1970,52.3730796,4.8924534,5479,year
1971,52.3730796,4.8924534,5844,year
1972,52.3730796,4.8924534,6209,year
1973,52.3730796,4.8924534,6575,year
1974,52.3730796,4.8924534,6940,year
1975,52.3730796,4.8924534,7305,year
1976,52.3730796,4.8924534,7670,year
1955,55.6867243,12.5700724,0,year
1956,55.6867243,12.5700724,365,year
1957,55.6867243,12.5700724,731,year
1958,55.6867243,12.5700724,1096,year
1959,55.6867243,12.5700724,1461,year
1960,55.6867243,12.5700724,1826,year
1961,55.6867243,12.5700724,2192,year
1962,55.6867243,12.5700724,2557,year
1963,55.6867243,12.5700724,2922,year
1964,55.6867243,12.5700724,3287,year
1965,55.6867243,12.5700724,3653,year
1966,55.6867243,12.5700724,4018,year
1967,55.6867243,12.5700724,4383,year
1968,55.6867243,12.5700724,4748,year
1969,55.6867243,12.5700724,5114,year
1970,55.6867243,12.5700724,5479,year
1971,55.6867243,12.5700724,5844,year
1972,55.6867243,12.5700724,6209,year
1973,55.6867243,12.5700724,6575,year
1974,55.6867243,12.5700724,6940,year
1975,55.6867243,12.5700724,7305,year
1976,55.6867243,12.5700724,7670,year
1977,55.6867243,12.5700724,8036,year
1955,52.0809856,5.127683969,0,year
1956,52.0809856,5.127683969,365,year
1957,52.0809856,5.127683969,731,year
1958,52.0809856,5.127683969,1096,year
1959,52.0809856,5.127683969,1461,year
1960,52.0809856,5.127683969,1826,year
1961,52.0809856,5.127683969,2192,year
1962,52.0809856,5.127683969,2557,year
1963,52.0809856,5.127683969,2922,year
1964,52.0809856,5.127683969,3287,year
1965,52.0809856,5.127683969,3653,year
1966,52.0809856,5.127683969,4018,year
1967,52.0809856,5.127683969,4383,year
1968,52.0809856,5.127683969,4748,year
1969,52.0809856,5.127683969,5114,year
1970,52.0809856,5.127683969,5479,year
1971,52.0809856,5.127683969,5844,year
1972,52.0809856,5.127683969,6209,year
1973,52.0809856,5.127683969,6575,year
1974,52.0809856,5.127683969,6940,year
1975,52.0809856,5.127683969,7305,year
1976,52.0809856,5.127683969,7670,year
1977,52.0809856,5.127683969,8036,year
1978,52.0809856,5.127683969,8401,year
1955,52.1067449,4.2736937,0,year
1956,52.1067449,4.2736937,365,year
1957,52.1067449,4.2736937,731,year
1958,52.1067449,4.2736937,1096,year
1959,52.1067449,4.2736937,1461,year
1960,52.1067449,4.2736937,1826,year
1961,52.1067449,4.2736937,2192,year
1962,52.1067449,4.2736937,2557,year
1963,52.1067449,4.2736937,2922,year
1964,52.1067449,4.2736937,3287,year
1965,52.1067449,4.2736937,3653,year
1966,52.1067449,4.2736937,4018,year
1967,52.1067449,4.2736937,4383,year
1968,52.1067449,4.2736937,4748,year
1969,52.1067449,4.2736937,5114,year
